mouse_strain,B6J
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
mouse_life_stage,Early adult
pvalue,0.6596666
parameter_id,IMPC_EYE_062_001
parameter_name,Right total retinal thickness
analysis_id,e5h2z9g6xtyn55r
