analysis_id,607m511iz5934rn
parameter_id,TCPLA_GRS_011_001
gene_symbol,Frmpd1
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:2446274
pvalue,0.2308612
mouse_life_stage,Early adult
mouse_strain,C57BL
