analysis_id,579794a90ujjq0a
gene_accession_id,MGI:894679
mouse_strain,C57BL
pvalue,6.437363e-08
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_037_001
parameter_name,% Pre-pulse inhibition - Global
gene_symbol,Bach2
