gene_symbol,Traf6
parameter_name,Joints
gene_accession_id,MGI:108072
analysis_id,j70yxy1925dk151
parameter_id,IMPC_XRY_027_001
pvalue,0.9844363
mouse_life_stage,Early adult
mouse_strain,C57BL
