parameter_name,Eye
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_id,M-G-P_013_001_001
pvalue,0.1189637
analysis_id,h730cpq265j3zwy
gene_symbol,Dmap1
mouse_life_stage,E12.5
