parameter_id,MGP_CSD_025_001
pvalue,0.0994512
analysis_id,812gi7197e1ouzf
gene_accession_id,MGI:1916846
parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
gene_symbol,Ap5s1
mouse_life_stage,Early adult
