gene_symbol,Psd4
parameter_id,IMPC_HEM_036_001
pvalue,0.8926523
gene_accession_id,MGI:2674093
analysis_id,00go6a06e5g67z1
parameter_name,Eosinophil cell count
mouse_life_stage,Early adult
mouse_strain,C57BL
