analysis_id,764j430rnly77at
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_CSD_077_001
gene_symbol,Mapkap1
pvalue,0.462336
gene_accession_id,MGI:2444554
parameter_name,Contact righting
