gene_symbol,Cdin1
analysis_id,1n5b95s653r2485
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,Snout size
gene_accession_id,MGI:3026886
pvalue,0.3154816
parameter_id,MGP_CSD_067_001
