analysis_id,831a5y73nji4py1
mouse_strain,C57BL
parameter_name,Thyroxine
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
pvalue,0.9060504
parameter_id,IMPC_CBC_053_001
