analysis_id,nks7118h8s8ayh4
parameter_id,CCP_LFO_001_001
pvalue,0.874256
gene_symbol,Bcs1l
parameter_name,Weight
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
