analysis_id,6l7r6ta3534ugk0
parameter_id,IMPC_GEL_063_001
pvalue,0.5692997
parameter_name,Delayed embryonic development
gene_symbol,Slc17a9
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
