analysis_id,s21i7sa0w7x07l1
parameter_id,IMPC_HEM_039_001
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.7641038
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
mouse_strain,C57BL
