analysis_id,y5827719u930v92
mouse_life_stage,Early adult
gene_symbol,Cdin1
parameter_name,Coat - hair distribution - head
parameter_id,IMPC_CSD_012_001
gene_accession_id,MGI:3026886
mouse_strain,C57BL
pvalue,0.3259865
