parameter_name,B cell number
mouse_life_stage,Early adult
parameter_id,MGP_PBI_034_001
pvalue,0.9086201
mouse_strain,C54BL
analysis_id,l69pbp302603s7t
gene_accession_id,MGI:99501
gene_symbol,Fgb
