gene_symbol,Gpa33
gene_accession_id,MGI:1891703
mouse_life_stage,Early adult
parameter_name,CD8+ KLRG1+ alpha beta T cell number
analysis_id,22gjga1y7am8f1l
mouse_strain,C59BL
pvalue,0.1314275
parameter_id,MGP_PBI_033_001
