gene_symbol,Ola1
pvalue,0.9145414
gene_accession_id,MGI:1914309
analysis_id,al6n86muo4500d0
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_id,IMPC_FEA_107_001
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
