parameter_name,CV
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_003_001
analysis_id,x9q310c1506mw1y
mouse_strain,C57BL
gene_symbol,Kifap3
pvalue,0.09807606
