parameter_name,Embryo turning
mouse_strain,C57BL
pvalue,0.8210324
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
parameter_id,IMPC_GEL_011_001
analysis_id,wf81a34s201c1el
mouse_life_stage,E15.5
