parameter_name,Red blood cell count
pvalue,0.5738772
mouse_strain,C57BL
analysis_id,304jmo6gt28g18z
parameter_id,ESLIM_016_001_002
mouse_life_stage,E18.5
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
