analysis_id,425h1qizm87ma3m
parameter_name,Edema
mouse_strain,C57BL
parameter_id,IMPC_GEO_064_001
gene_accession_id,MGI:1917810
pvalue,0.1581794
gene_symbol,Wars2
mouse_life_stage,Early adult
