analysis_id,7y053u4d4frw9jh
parameter_name,B Cells
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
pvalue,0.1400439
