parameter_name,Corneal opacity
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.6486067
parameter_id,IMPC_EYE_008_001
gene_accession_id,MGI:1914309
analysis_id,tu17zynm77f96y8
gene_symbol,Ola1
