gene_symbol,Sfpq
mouse_strain,C57BL
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
parameter_name,Neutrophils
parameter_id,IMPC_IMM_050_001
pvalue,0.9043609
analysis_id,853824c2q19q7t5
