gene_symbol,Rab3gap2
parameter_id,ESLIM_011_001_704
mouse_life_stage,Early adult
analysis_id,7s40v98w4o4w310
gene_accession_id,MGI:1916043
parameter_name,Prepulse inhibition - PP4
mouse_strain,C57BL
pvalue,0.6514976
