gene_symbol,Il1r1
mouse_strain,C57BL
parameter_name,Sacral processes
pvalue,0.2818009
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:96545
mouse_life_stage,Early adult
analysis_id,5e5892v62k1u52e
