gene_symbol,Col6a3
pvalue,0.8991442
parameter_id,M-G-P_014_001_010
analysis_id,q3zvf05a9x173u8
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,lens opacity
gene_accession_id,MGI:88461
