gene_symbol,Inpp1
pvalue,0.958669
gene_accession_id,MGI:104848
parameter_id,IMPC_ABR_002_001
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Click-evoked ABR threshold
analysis_id,ixd60q948214713
