gene_symbol,Arpc5l
parameter_name,Percentage center time
analysis_id,76x2r990270ty25
pvalue,0.9550419
mouse_strain,C57BL
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
parameter_id,JAX_OFD_022_001
