analysis_id,53o134c9on570fb
mouse_strain,C57BL
parameter_name,Fat/Body weight
pvalue,0.8643707
gene_symbol,Atg4c
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:2651854
