gene_symbol,Hpca
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
pvalue,0.1645554
parameter_id,MGP_IMM_101_001
parameter_name,KLRG1+ NK cells - % of CD45+
analysis_id,2id7vkr86s2mj45
mouse_strain,C57BL
