analysis_id,22a1bha94ru15sf
pvalue,0.496173
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_MLN_071_001
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,AU040320
gene_accession_id,MGI:2140475
