gene_symbol,Casq1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_003_001
gene_accession_id,MGI:1309468
analysis_id,q7zn82269ag9e8p
pvalue,0.8639531
parameter_name,CD4+ alpha beta T cell percentage
