mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
mouse_strain,C57BL
pvalue,0.2258316
parameter_name,Ly6Clow monocyte number
gene_symbol,Tbl1xr1
parameter_id,MGP_PBI_038_001
analysis_id,v94s37v46wp10v4
