analysis_id,8c763988n8j33hm
gene_symbol,Ufc1
pvalue,0.2984643
mouse_strain,C57BL
parameter_id,MGP_IMM_130_001
parameter_name,CD11b-low cDC - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
