gene_symbol,Snrpb2
analysis_id,d17k67s7q5v91o4
gene_accession_id,MGI:104805
parameter_name,Snout size
parameter_id,MGP_CSD_067_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3548404
