analysis_id,m05e5ei5qy74i1g
pvalue,0.4178441
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Basophil differential count
gene_symbol,Psmd14
gene_accession_id,MGI:1913284
parameter_id,IMPC_HEM_038_001
