parameter_id,JAX_URI_002_001
parameter_name,Creatinine
mouse_life_stage,Early adult
gene_symbol,Ahctf1
gene_accession_id,MGI:1915033
mouse_strain,C57BL
analysis_id,r8x11sm5xjvnl96
pvalue,0.2003909
