analysis_id,y5z86k5smn45i16
gene_symbol,Frmpd1
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_name,Potassium
pvalue,0.8012317
parameter_id,GMC_906_001_005
gene_accession_id,MGI:2446274
