analysis_id,b2a4v42h8avs8y5
parameter_name,Effector CD8+ T cells - % of CD8+
gene_accession_id,MGI:2444554
parameter_id,MGP_MLN_013_001
pvalue,0.8172772
mouse_strain,C57BL
gene_symbol,Mapkap1
mouse_life_stage,E15.5
