analysis_id,7q6l675034ta3il
mouse_life_stage,Early adult
gene_symbol,Sla2
pvalue,0.9368882
parameter_name,Eye
parameter_id,IMPC_EYE_001_001
gene_accession_id,MGI:1925049
mouse_strain,C57BL
