gene_symbol,Galnt13
gene_accession_id,MGI:2139447
mouse_life_stage,Late adult
parameter_name,Lens Opacity
parameter_id,UCDLA_EYE_017_001
analysis_id,txxh0e1gd13x01f
mouse_strain,C57BL
pvalue,1.824034e-06
