gene_symbol,Gja10
gene_accession_id,MGI:1339969
analysis_id,26h0v5ffzj765e9
mouse_strain,C57BL
parameter_id,MGP_IMM_015_001
mouse_life_stage,Early adult
pvalue,0.3761312
parameter_name,Resting CD8+ T cells - % of CD8+
