gene_symbol,Orc2
parameter_name,Follicular B cells - % of B2 cells
analysis_id,9tyv35n990pf5qy
parameter_id,MGP_IMM_048_001
mouse_strain,C57BL
pvalue,0.8786231
gene_accession_id,MGI:1328306
mouse_life_stage,E9.5
