analysis_id,5f17b1b9e35g0o0
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
gene_symbol,Ola1
pvalue,0.9891583
parameter_name,Center average speed
mouse_strain,C57BL
parameter_id,IMPC_OFD_017_001
