parameter_name,Pericardium Morphology
gene_accession_id,MGI:2685053
parameter_id,IMPC_GEL_006_001
mouse_strain,C57BL
analysis_id,66r0v4e70o81nby
gene_symbol,Ntmt2
mouse_life_stage,Early adult
pvalue,0.6528915
