parameter_name,Upper teeth appearance
pvalue,0.4014278
mouse_strain,C57BL
analysis_id,o93ahv6zmt9f45b
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_069_001
gene_accession_id,MGI:1921262
gene_symbol,Rap2b
