gene_symbol,Inka2
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_006_001
mouse_strain,C57BL
parameter_name,Narrow eye opening
pvalue,0.5831888
gene_accession_id,MGI:1923497
analysis_id,2p9q9fyx336nctt
