analysis_id,0028e1h1o6t927d
parameter_name,Hindlimb nail - number
mouse_strain,C57BL
gene_symbol,Bmp7
gene_accession_id,MGI:103302
parameter_id,IMPC_CSD_051_002
pvalue,0.2677091
mouse_life_stage,Early adult
