analysis_id,44u4u16k4d0921v
gene_accession_id,MGI:1914672
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_070_001
pvalue,0.5920259
mouse_life_stage,Early adult
gene_symbol,Dhdds
