pvalue,0.3329142
parameter_id,HRWLLA_OFD_020_001
mouse_life_stage,Early adult
gene_symbol,Etfdh
gene_accession_id,MGI:106100
mouse_strain,C57BL
analysis_id,q97gc785230ks45
parameter_name,Distance travelled - total
