analysis_id,989siz9809431ev
mouse_life_stage,Early adult
pvalue,0.09727713
parameter_id,IMPC_ABR_012_001
mouse_strain,C57BL
gene_symbol,Bpifa3
parameter_name,30kHz-evoked ABR Threshold
gene_accession_id,MGI:1920638
