parameter_name,NK Subsets (Q2)
gene_accession_id,MGI:1914561
pvalue,0.3683489
gene_symbol,Nanp
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,78d5qq6y4b2viw7
parameter_id,IMPC_IMM_055_001
