parameter_name,Pale yolk sac
gene_accession_id,MGI:2444114
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zcchc2
parameter_id,IMPC_GEL_017_002
analysis_id,8ati6h83u9jc3v8
pvalue,0.408913
