gene_symbol,Rufy4
mouse_life_stage,Early adult
parameter_name,Total holepokes
pvalue,0.3051765
analysis_id,nv898t5ty0kazeu
parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:3588214
mouse_strain,C57BL
