analysis_id,4422217o1tb2a2v
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1213874
gene_symbol,Ncaph
parameter_name,Calcium
gene_accession_id,MGI:2444777
parameter_id,IMPC_CBC_009_001
