analysis_id,03hldn95gi0j46x
gene_symbol,Arpc2
mouse_life_stage,Early adult
parameter_name,Tibia
gene_accession_id,MGI:1923959
pvalue,0.897971
mouse_strain,C57BL
parameter_id,IMPC_XRY_025_001
