parameter_name,Weight
parameter_id,CCP_LFO_001_001
analysis_id,899g345n67dk1x4
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
pvalue,0.5038669
mouse_strain,C57BL
gene_accession_id,MGI:109356
