parameter_name,Body position
analysis_id,2299ef94y10e366
pvalue,0.7493225
mouse_life_stage,Early adult
gene_symbol,Snrpb2
gene_accession_id,MGI:104805
parameter_id,ESLIM_008_001_001
mouse_strain,C57BL
