parameter_name,Mean corpuscular hemoglobin
parameter_id,IMPC_HEM_006_001
analysis_id,11943qjq17ou2s2
mouse_strain,C57BL
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
mouse_life_stage,Early adult
pvalue,0.2956705
