analysis_id,971ot8jro7am7rs
gene_symbol,Slc2a8
parameter_name,lens
parameter_id,M-G-P_014_001_009
gene_accession_id,MGI:1860103
pvalue,0.8662978
mouse_life_stage,Early adult
mouse_strain,C57BL
