analysis_id,624898qh0u573xq
parameter_name,Body weight
gene_accession_id,MGI:2446274
pvalue,0.6391165
parameter_id,M-G-P_009_001_003
gene_symbol,Frmpd1
mouse_strain,C57BL
mouse_life_stage,Late adult
