parameter_id,IMPC_IPG_011_001
mouse_strain,C57BL
gene_accession_id,MGI:2140475
gene_symbol,AU040320
parameter_name,Initial response to glucose challenge
mouse_life_stage,Middle aged adult
pvalue,0.8842145
analysis_id,433jpo15qplv425
