gene_symbol,Jun
gene_accession_id,MGI:96646
mouse_life_stage,E15.5
parameter_name,Latency to center entry
pvalue,0.6302564
parameter_id,IMPC_OFD_018_001
analysis_id,4q2m15f0twkn900
mouse_strain,C51BL
